strategy,split,hit@1_before,hit@5_before,hit@10_before,recall@1_before,recall@5_before,recall@10_before,mrr@10_before,ndcg@10_before,recall@1_after,hit@1_after,recall@5_after,hit@5_after,recall@10_after,hit@10_after,mrr@10_after,ndcg@10_after,hit@1_delta,hit@5_delta,hit@10_delta,mrr@10_delta,ndcg@10_delta
bm25,answerable,0.7323340471092077,0.9057815845824411,0.9314775160599572,0.683083511777302,0.8633119200571021,0.8950749464668094,0.8085372692974405,0.8143379612196836,0.7162740899357601,0.7708779443254818,0.8882940756602428,0.9271948608137045,0.909707351891506,0.9464668094218416,0.8404965840726012,0.8417869126325205,0.03854389721627416,0.021413276231263434,0.01498929336188437,0.031959314775160674,0.027448951412836875
dense,answerable,0.6638115631691649,0.8758029978586723,0.9057815845824411,0.6106352605281942,0.8319057815845824,0.867237687366167,0.7577342714387683,0.7679023754600487,0.7066381156316917,0.7580299785867237,0.8790149892933619,0.9143468950749465,0.9068522483940042,0.9443254817987152,0.8297771999592128,0.8341751556186034,0.09421841541755882,0.03854389721627416,0.03854389721627416,0.07204292852044458,0.06627278015855476
hybrid,answerable,0.7366167023554604,0.9164882226980728,0.9421841541755889,0.6755888650963597,0.877587437544611,0.9054246966452534,0.813266034465178,0.8188236098167233,0.720199857244825,0.7730192719486081,0.8997144896502499,0.9379014989293362,0.923982869379015,0.961456102783726,0.84638778423575,0.8505838059488264,0.03640256959314769,0.021413276231263323,0.01927194860813708,0.03312174977057203,0.031760196132103125
