model,chunking,retrieval_type,ndcg@10,recall@5,recall@10,mrr@10,hit@1,hit@5,embedding_time_seconds,chunks_per_second,query_latency_ms_avg,query_latency_ms_p95,index_size_mb,embedding_dimension,num_chunks,avg_chunk_tokens,num_queries,chunking_time_seconds,evaluation_seconds,strategy_total_seconds
BAAI/bge-m3,token,dense,0.772057,0.803363,0.827485,0.807769,0.719298,0.912281,2377.77585,9.022718,34.334278,39.16205,83.804688,1024,21454,364.650648,114,0.0,3.924324,2383.920626
BAAI/bge-m3,langchain_recursive,dense,0.737966,0.752193,0.752193,0.814327,0.754386,0.877193,3099.602579,27.560307,45.312436,53.336385,333.695312,1024,85426,84.41217,114,0.0,5.178092,3109.427989
BAAI/bge-m3,llamaindex,dense,0.753181,0.791667,0.798246,0.799791,0.710526,0.903509,2576.241421,16.705732,37.30203,42.459351,168.117188,1024,43038,173.437358,114,0.0,4.267937,2583.652388
BAAI/bge-m3,structured,dense,0.760537,0.798977,0.805556,0.803021,0.72807,0.903509,2474.227545,9.034335,31.61807,34.027426,87.316406,1024,22353,364.695343,114,0.0,3.619171,2480.267908
