method,latency_ms,recall@1,hit@1,recall@5,hit@5,recall@10,hit@10,mrr@10,ndcg@10
bm25,306.7875,0.7058823529411765,0.7294117647058823,0.9529411764705882,0.9529411764705882,0.9529411764705882,0.9529411764705882,0.8149019607843138,0.8493242610554326
dense,13437.687463529412,0.6764705882352942,0.6941176470588235,0.9176470588235294,0.9176470588235294,0.9411764705882353,0.9411764705882353,0.7831372549019607,0.8230283268641104
hybrid,13496.823094117646,0.7176470588235294,0.7411764705882353,0.9647058823529412,0.9647058823529412,0.9647058823529412,0.9647058823529412,0.8315686274509805,0.8641315653907204
